id,number,title,area,phase,epic,priority,labels,dependencies,file
ARQ-154,154,accessibility: test 200 percent zoom,accessibility,Phase 4,Accessibility,normal,type: feature;area: accessibility;priority: normal;state: blocked,ARQ-153,backlog/issues/154-accessibility-test-200-percent-zoom.md
ARQ-155,155,security: create threat model,security,Phase 4,Security,normal,type: feature;area: security;priority: normal;state: blocked,ARQ-154,backlog/issues/155-security-create-threat-model.md
ARQ-156,156,security: fuzz arq archive,security,Phase 4,Security,normal,type: feature;area: security;priority: normal;state: blocked,ARQ-155,backlog/issues/156-security-fuzz-arq-archive.md
ARQ-157,157,security: add file size and complexity limits,security,Phase 4,Security,normal,type: feature;area: security;priority: normal;state: blocked,ARQ-156,backlog/issues/157-security-add-file-size-and-complexity-limits.md
ARQ-158,158,exchange: prototype DXF parser,exchange,Phase 5,Interoperability,normal,type: feature;area: exchange;priority: normal;state: blocked,ARQ-157,backlog/issues/158-exchange-prototype-dxf-parser.md
ARQ-159,159,exchange: define DXF support matrix,exchange,Phase 5,Interoperability,normal,type: feature;area: exchange;priority: normal;state: blocked,ARQ-158,backlog/issues/159-exchange-define-dxf-support-matrix.md
ARQ-160,160,exchange: prototype web-ifc viewer,exchange,Phase 5,Interoperability,normal,type: feature;area: exchange;priority: normal;state: blocked,ARQ-159,backlog/issues/160-exchange-prototype-web-ifc-viewer.md
ARQ-161,161,exchange: define IFC mapping report,exchange,Phase 5,Interoperability,normal,type: feature;area: exchange;priority: normal;state: blocked,ARQ-160,backlog/issues/161-exchange-define-ifc-mapping-report.md
ARQ-162,162,collaboration: prototype presence only,collaboration,Phase 6,Collaboration,normal,type: feature;area: collaboration;priority: normal;state: blocked,ARQ-161,backlog/issues/162-collaboration-prototype-presence-only.md
ARQ-163,163,collaboration: implement comments,collaboration,Phase 6,Collaboration,normal,type: feature;area: collaboration;priority: normal;state: blocked,ARQ-162,backlog/issues/163-collaboration-implement-comments.md
ARQ-164,164,collaboration: implement issues,collaboration,Phase 6,Collaboration,normal,type: feature;area: collaboration;priority: normal;state: blocked,ARQ-163,backlog/issues/164-collaboration-implement-issues.md
ARQ-165,165,collaboration: implement revision snapshots,collaboration,Phase 6,Collaboration,normal,type: feature;area: collaboration;priority: normal;state: blocked,ARQ-164,backlog/issues/165-collaboration-implement-revision-snapshots.md
ARQ-166,166,ai: define ArqScript grammar v0,ai,Phase 7,AI and ArqScript,normal,type: feature;area: ai;priority: normal;state: blocked,ARQ-165,backlog/issues/166-ai-define-arqscript-grammar-v0.md
ARQ-167,167,ai: implement ArqScript parser,ai,Phase 7,AI and ArqScript,normal,type: feature;area: ai;priority: normal;state: blocked,ARQ-166,backlog/issues/167-ai-implement-arqscript-parser.md
ARQ-168,168,ai: add ten deterministic benchmarks,ai,Phase 7,AI and ArqScript,normal,type: feature;area: ai;priority: normal;state: blocked,ARQ-167,backlog/issues/168-ai-add-ten-deterministic-benchmarks.md
ARQ-169,169,ai: prototype explain selection,ai,Phase 7,AI and ArqScript,normal,type: feature;area: ai;priority: normal;state: blocked,ARQ-168,backlog/issues/169-ai-prototype-explain-selection.md
ARQ-170,170,ai: prototype one-step wall edit proposal,ai,Phase 7,AI and ArqScript,normal,type: feature;area: ai;priority: normal;state: blocked,ARQ-169,backlog/issues/170-ai-prototype-one-step-wall-edit-proposal.md
ARQ-171,171,ipad: test Pencil web input,ipad,Phase 8,Native iPad,normal,type: feature;area: ipad;priority: normal;state: blocked,ARQ-170,backlog/issues/171-ipad-test-pencil-web-input.md
ARQ-172,172,ipad: prototype native hover,ipad,Phase 8,Native iPad,normal,type: feature;area: ipad;priority: normal;state: blocked,ARQ-171,backlog/issues/172-ipad-prototype-native-hover.md
ARQ-173,173,ipad: prototype RoomPlan conversion,ipad,Phase 8,Native iPad,normal,type: feature;area: ipad;priority: normal;state: blocked,ARQ-172,backlog/issues/173-ipad-prototype-roomplan-conversion.md
ARQ-174,174,product: approve complete route map and page ownership,product,Phase 0,All-in-one completion,high,type: research;area: product;priority: high;state: ready,,backlog/issues/174-product-approve-complete-route-map-and-page-ownership.md
ARQ-175,175,design: design all public and application page states,design,Phase 0,All-in-one completion,high,type: research;area: design;priority: high;state: ready,,backlog/issues/175-design-design-all-public-and-application-page-states.md
ARQ-176,176,design: review and refine draft SVG technical icons,design,Phase 0,All-in-one completion,high,type: research;area: design;priority: high;state: ready,,backlog/issues/176-design-review-and-refine-draft-svg-technical-icons.md
ARQ-177,177,design: build component test harness,design,Phase 0,All-in-one completion,high,type: research;area: design;priority: high;state: ready,,backlog/issues/177-design-build-component-test-harness.md
ARQ-178,178,api: review and approve OpenAPI draft,api,Phase 0,All-in-one completion,high,type: research;area: api;priority: high;state: ready,,backlog/issues/178-api-review-and-approve-openapi-draft.md
ARQ-179,179,database: review PostgreSQL schema and tenancy model,database,Phase 0,All-in-one completion,high,type: research;area: database;priority: high;state: ready,,backlog/issues/179-database-review-postgresql-schema-and-tenancy-model.md
ARQ-180,180,architecture: approve TypeScript public contracts,architecture,Phase 0,All-in-one completion,high,type: research;area: architecture;priority: high;state: ready,,backlog/issues/180-architecture-approve-typescript-public-contracts.md
ARQ-181,181,prototype: usability test static product shell,prototype,Phase 0,All-in-one completion,high,type: research;area: prototype;priority: high;state: ready,,backlog/issues/181-prototype-usability-test-static-product-shell.md
ARQ-182,182,quality: triage anticipated bug catalogue into release gates,quality,Phase 0,All-in-one completion,high,type: research;area: quality;priority: high;state: ready,,backlog/issues/182-quality-triage-anticipated-bug-catalogue-into-release-gates.md
ARQ-183,183,quality: import QA test catalogue into test management,quality,Phase 0,All-in-one completion,high,type: research;area: quality;priority: high;state: ready,,backlog/issues/183-quality-import-qa-test-catalogue-into-test-management.md
ARQ-184,184,security: approve RBAC matrix and authorisation tests,security,Phase 0,All-in-one completion,high,type: research;area: security;priority: high;state: ready,,backlog/issues/184-security-approve-rbac-matrix-and-authorisation-tests.md
ARQ-185,185,analytics: approve event dictionary and privacy properties,analytics,Phase 0,All-in-one completion,high,type: research;area: analytics;priority: high;state: ready,,backlog/issues/185-analytics-approve-event-dictionary-and-privacy-properties.md
ARQ-186,186,legal: complete privacy terms acceptable use and AI review,legal,Phase 0,All-in-one completion,high,type: research;area: legal;priority: high;state: ready,,backlog/issues/186-legal-complete-privacy-terms-acceptable-use-and-ai-review.md
ARQ-187,187,business: conduct pricing and entitlement research,business,Phase 0,All-in-one completion,high,type: research;area: business;priority: high;state: ready,,backlog/issues/187-business-conduct-pricing-and-entitlement-research.md
ARQ-188,188,operations: approve backup retention support and incident plans,operations,Phase 0,All-in-one completion,high,type: research;area: operations;priority: high;state: ready,,backlog/issues/188-operations-approve-backup-retention-support-and-incident-plans.md
ARQ-189,189,platform: complete browser and device validation matrix,platform,Phase 0,All-in-one completion,high,type: research;area: platform;priority: high;state: ready,,backlog/issues/189-platform-complete-browser-and-device-validation-matrix.md
ARQ-190,190,design: differentiate component doc content per component,design,Phase 0,Design system,high,type: docs;area: design;priority: high;state: ready,ARQ-177,backlog/issues/190-design-differentiate-component-doc-content-per-component.md
