id,group,feature,stage,status,dependency,quality_gate,claim_rule
FEAT-201,Visualisation,Image export,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-202,Visualisation,Video path,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-203,Visualisation,Photorealistic renderer integration,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-204,Visualisation,Native path tracing,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-205,Visualisation,AR walkthrough,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-206,Visualisation,Vision Pro review,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-207,AI and automation,Explain selected object,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-208,AI and automation,Explain validation error,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-209,AI and automation,Natural language command search,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-210,AI and automation,Bounded wall modification,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-211,AI and automation,Bounded opening modification,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-212,AI and automation,Room naming assistance,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-213,AI and automation,Schedule generation,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-214,AI and automation,Model health suggestions,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-215,AI and automation,ArqScript parser,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-216,AI and automation,ArqScript executor,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-217,AI and automation,AI proposal preview,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-218,AI and automation,AI grouped undo,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-219,AI and automation,Sketch calibration,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-220,AI and automation,Sketch to bounded operations,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-221,AI and automation,Room layout alternatives,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-222,AI and automation,Whole-building generation,Research,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-223,AI and automation,Code compliance assistance,Research,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-224,AI and automation,Structural design generation,Not planned,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-225,Native and field,PWA install,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-226,Native and field,Native desktop shell,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-227,Native and field,macOS document integration,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-228,Native and field,Windows file association,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-229,Native and field,iPad document integration,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-230,Native and field,Apple Pencil hover,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-231,Native and field,Apple Pencil double tap,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-232,Native and field,Apple Pencil squeeze,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-233,Native and field,Pencil haptic snap,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-234,Native and field,RoomPlan import,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-235,Native and field,LiDAR source capture,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-236,Native and field,Capture correction workflow,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-237,Native and field,Phone viewer,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-238,Native and field,Phone markup,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-239,Native and field,Offline project replica,R1,protected,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-240,Administration and platform,Account settings,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-241,Administration and platform,Workspace settings,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-242,Administration and platform,Billing,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-243,Administration and platform,Usage limits,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-244,Administration and platform,Audit log,R3,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-245,Administration and platform,SSO,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-246,Administration and platform,SCIM,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-247,Administration and platform,Regional hosting,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-248,Administration and platform,API keys,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-249,Administration and platform,Webhooks,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-250,Administration and platform,Plugin SDK,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-251,Administration and platform,Plugin permissions,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-252,Administration and platform,Organisation templates,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-253,Administration and platform,Component library administration,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-254,Administration and platform,Security dashboard,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-255,Administration and platform,Data retention controls,R4,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-256,Administration and platform,Support bundle,R2,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-257,Structural and MEP,Structural analytical model,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-258,Structural and MEP,Loads and combinations,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-259,Structural and MEP,Structural analysis,Not planned,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-260,Structural and MEP,Duct authoring,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-261,Structural and MEP,Pipe authoring,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-262,Structural and MEP,Electrical circuits,Later,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-263,Structural and MEP,MEP sizing,Not planned,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-264,Structural and MEP,Clash detection,R5,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
FEAT-265,Structural and MEP,Fabrication detail,Not planned,planned,See command and entity catalogues,"Usability, correctness, recovery, accessibility, performance and security",Do not market as available before release evidence
